POA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA6000,0,0,0,0,0,0,3,0,3,59,35,6,100,6,3,11,106,67,0,179
POA6003,0,0,0,0,0,0,0,0,0,14,11,0,28,3,0,4,31,18,0,54
POA6004,0,0,0,0,0,0,0,0,0,57,23,5,86,9,12,15,100,61,0,158
POA6005,0,0,0,0,0,0,0,0,0,36,17,0,49,3,5,11,62,49,3,112
POA6006,0,0,0,0,0,0,3,0,3,77,48,8,132,5,8,15,151,83,0,231
POA6007,0,0,0,0,0,0,0,0,0,74,34,5,117,3,4,11,124,52,0,178
POA6008,0,4,0,0,0,4,0,0,5,181,112,8,299,12,12,27,327,114,3,444
POA6009,0,3,0,0,0,3,0,0,3,141,92,6,240,11,13,22,261,146,0,403
POA6010,0,3,0,0,0,3,3,0,3,189,124,11,320,9,17,27,349,163,4,509
POA6011,0,0,0,0,0,0,4,0,4,66,83,8,151,4,3,7,155,78,0,239
POA6012,0,0,0,0,0,0,0,0,3,84,73,6,166,10,6,17,180,85,3,269
POA6014,0,0,0,0,0,0,0,0,0,162,159,8,340,13,7,21,358,161,5,520
POA6015,0,0,0,0,0,0,0,0,0,52,27,0,82,0,3,4,89,64,0,152
POA6016,0,0,0,0,0,0,3,3,4,76,75,9,161,7,17,23,190,89,3,276
POA6017,0,0,0,0,0,0,0,3,3,28,27,3,60,5,6,9,76,58,3,132
POA6018,3,7,0,0,0,7,3,8,17,422,350,38,812,35,38,77,887,422,9,1321
POA6019,0,3,0,0,0,7,4,3,14,269,218,20,499,24,18,39,540,190,6,731
POA6020,0,0,0,0,0,0,4,0,11,196,169,16,379,13,15,23,408,155,3,563
POA6021,0,4,0,0,0,4,9,0,10,213,177,10,398,23,15,38,439,257,3,703
POA6022,0,0,0,0,0,0,0,0,0,83,60,10,151,5,0,12,160,64,0,220
POA6023,3,10,0,0,0,10,0,0,13,164,142,20,322,10,4,14,340,105,0,447
POA6024,0,3,0,0,0,3,4,0,5,164,153,16,338,19,5,24,360,175,0,535
POA6025,0,6,0,0,0,5,12,4,18,372,300,28,698,25,26,49,749,359,5,1119
POA6026,0,3,0,0,0,4,4,0,7,287,214,18,521,23,14,40,562,175,3,740
POA6027,6,15,0,4,3,21,3,4,32,564,375,47,983,50,46,101,1086,434,9,1526
POA6028,0,3,0,0,0,3,0,3,5,281,199,17,497,17,18,36,537,174,3,713
POA6029,0,0,0,0,0,0,0,0,0,30,14,0,46,3,0,3,48,20,0,61
POA6030,3,10,0,6,4,18,18,7,38,569,471,60,1102,105,71,174,1274,607,16,1899
POA6031,4,3,0,0,0,5,0,3,12,256,189,27,469,37,31,61,531,183,3,722
POA6032,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,8,0,0,8
POA6033,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,4,0,7
POA6034,0,0,0,0,0,0,0,0,0,22,20,0,35,5,0,3,44,22,0,65
POA6035,0,4,0,0,0,0,4,3,10,94,79,18,187,16,18,29,220,154,3,378
POA6036,0,0,0,0,0,5,8,7,18,266,176,36,474,35,40,69,544,244,12,795
POA6037,0,0,0,0,0,0,0,0,5,33,26,3,62,6,7,11,73,35,3,111
POA6038,0,0,0,0,0,0,0,0,0,76,66,7,147,11,14,22,169,68,0,234
POA6041,0,0,0,0,0,0,0,0,0,9,11,0,23,0,0,3,28,16,0,40
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6044,0,0,0,0,0,0,0,0,0,9,5,0,20,0,0,0,24,12,0,40
POA6050,0,3,0,0,0,3,0,0,4,112,96,4,222,8,13,22,241,117,3,369
POA6051,0,3,0,0,0,3,0,0,5,122,93,8,220,16,18,33,257,125,0,377
POA6052,0,0,0,0,0,0,0,0,7,151,110,10,272,18,11,24,299,146,3,446
POA6053,0,4,0,0,0,4,8,5,13,173,145,9,325,17,14,32,352,148,4,510
POA6054,4,0,0,0,0,3,11,10,25,312,220,33,570,34,30,70,634,394,15,1046
POA6055,0,0,0,0,0,0,4,0,11,242,165,12,413,36,18,54,467,204,8,675
POA6056,3,4,3,0,4,12,20,16,52,671,441,57,1169,93,59,149,1317,751,24,2091
POA6057,3,3,0,0,0,3,0,0,4,290,181,25,498,28,19,53,549,221,3,770
POA6058,0,0,0,0,0,0,7,8,17,205,141,16,356,19,11,34,391,211,12,607
POA6059,3,3,0,0,0,3,3,3,10,263,208,31,502,21,29,56,556,334,8,896
POA6060,0,3,0,0,0,3,4,4,13,273,210,17,501,28,17,43,548,321,6,874
POA6061,3,11,5,0,5,17,25,25,61,456,395,58,906,92,78,169,1077,871,39,1981
POA6062,0,0,0,0,0,0,16,3,18,417,325,28,769,42,44,83,850,510,15,1376
POA6063,0,3,0,0,0,3,4,9,16,202,161,23,380,23,17,37,422,254,9,685
POA6064,0,4,0,0,0,7,12,12,31,436,359,39,834,58,58,115,953,704,22,1682
POA6065,5,12,0,0,0,10,5,5,28,752,551,59,1361,82,59,143,1502,573,16,2090
POA6066,0,5,0,0,0,5,6,0,7,295,224,22,538,38,24,68,603,319,3,925
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,0,11,0,0,4,12,9,7,24,626,374,38,1035,55,55,111,1146,490,14,1644
POA6070,0,0,0,0,0,0,3,0,3,49,26,3,76,5,0,3,83,32,0,122
POA6071,0,0,0,0,0,0,0,0,0,36,28,5,76,4,3,4,78,32,0,109
POA6072,0,0,0,0,0,0,0,0,0,11,4,0,12,0,0,0,12,6,0,25
POA6073,0,0,0,0,0,0,0,0,0,35,25,3,62,3,0,6,70,36,0,100
POA6074,0,0,0,0,0,0,0,0,0,7,13,0,21,3,0,3,25,9,0,39
POA6076,4,4,0,0,0,10,4,3,13,228,183,13,424,21,15,34,459,219,7,681
POA6077,0,0,0,0,0,0,0,0,3,6,4,0,14,4,0,3,14,13,0,27
POA6078,0,0,0,0,0,0,0,0,0,7,4,0,11,0,0,0,11,12,0,23
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6081,0,0,0,0,0,0,0,0,0,47,31,3,89,0,3,3,90,52,0,140
POA6082,0,0,0,0,0,0,0,0,0,46,39,5,83,0,3,3,90,36,0,131
POA6083,0,3,0,0,0,3,0,0,3,20,29,5,51,0,0,7,54,27,0,82
POA6084,0,3,0,0,0,3,0,0,5,82,58,4,148,7,8,19,159,71,0,237
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6100,0,0,0,0,0,0,3,0,0,135,95,8,238,19,16,34,269,115,0,387
POA6101,0,3,0,0,0,3,7,7,10,169,132,3,306,29,23,51,359,194,5,559
POA6102,0,0,0,0,0,0,3,3,8,82,82,9,170,15,8,29,201,160,3,363
POA6103,0,0,0,0,0,3,5,6,11,92,58,9,164,13,14,25,187,137,9,332
POA6104,0,4,0,0,0,3,3,3,13,164,122,13,299,14,21,37,340,215,9,563
POA6105,0,7,0,0,0,8,5,3,10,166,124,16,310,29,25,52,359,292,9,660
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6107,0,5,0,0,0,5,15,9,27,472,318,45,828,57,47,107,936,583,13,1530
POA6108,0,0,0,0,0,3,0,9,14,310,194,23,529,39,39,83,607,365,8,983
POA6109,0,3,0,0,0,3,3,3,13,149,98,15,263,26,23,52,312,255,14,576
POA6110,0,18,3,0,3,15,15,12,50,527,401,31,958,90,67,152,1117,672,20,1811
POA6111,3,9,0,0,0,9,11,3,19,308,261,37,609,45,38,86,694,411,9,1111
POA6112,3,10,0,4,4,12,28,16,58,708,571,64,1345,128,108,237,1586,979,23,2589
POA6121,0,0,0,0,0,0,0,0,0,29,14,0,42,0,3,3,52,28,0,73
POA6122,3,7,0,0,0,7,5,4,13,208,164,26,394,22,23,49,440,166,6,616
POA6123,0,0,0,0,0,0,0,0,0,11,15,0,26,4,0,4,34,20,0,52
POA6124,0,0,0,0,0,0,0,0,0,8,13,0,24,0,0,3,30,13,0,46
POA6125,0,0,0,0,0,0,0,0,0,17,21,4,44,3,0,5,49,34,0,84
POA6126,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,0,0,4
POA6147,0,4,0,0,0,4,3,4,7,207,137,18,368,23,22,43,411,311,11,731
POA6148,0,0,0,0,0,0,0,0,4,204,159,24,389,14,11,29,416,216,3,631
POA6149,0,0,0,0,3,3,0,3,6,204,146,14,360,17,14,27,387,171,3,559
POA6150,0,0,0,0,0,0,0,0,0,113,93,13,211,5,13,15,226,137,0,361
POA6151,0,0,0,0,0,0,3,3,4,119,103,11,232,14,9,21,257,150,4,410
POA6152,0,0,0,0,0,0,0,7,13,278,212,12,501,35,18,49,555,305,12,871
POA6153,0,3,0,3,3,9,3,0,15,231,145,10,390,11,22,32,422,222,7,647
POA6154,0,0,0,0,0,0,0,3,5,123,91,12,227,5,8,15,239,109,7,349
POA6155,0,10,0,0,0,10,7,0,14,594,389,40,1020,43,52,97,1117,441,7,1565
POA6156,4,8,3,0,3,9,6,3,15,208,159,19,390,16,14,34,425,270,3,697
POA6157,3,5,0,0,0,5,6,0,9,205,157,13,381,14,15,23,407,155,0,561
POA6158,0,0,0,0,0,0,0,0,3,73,80,5,159,3,0,7,164,60,0,231
POA6159,0,0,0,0,0,0,0,0,0,35,38,3,70,3,4,9,78,26,0,106
POA6160,0,0,0,0,0,0,0,3,3,91,78,3,169,4,11,14,181,97,3,286
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6162,0,3,0,0,0,3,0,0,7,119,112,13,245,18,19,32,280,180,10,467
POA6163,0,8,0,0,0,9,16,18,43,669,593,54,1313,62,68,133,1440,851,27,2321
POA6164,5,12,3,0,3,16,15,3,35,741,543,65,1345,81,58,144,1491,583,11,2077
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6166,0,5,0,0,0,5,3,0,4,102,79,9,187,7,9,20,200,100,0,296
POA6167,3,3,3,0,3,6,10,4,24,331,256,34,617,87,53,143,760,544,15,1323
POA6168,0,7,0,0,0,7,11,8,29,319,250,33,602,71,42,110,709,515,18,1241
POA6169,3,10,0,0,0,8,11,4,30,459,380,41,873,87,55,145,1017,627,14,1652
POA6170,0,0,0,0,0,0,3,0,4,160,116,9,284,31,33,61,340,189,3,534
POA6171,0,5,0,0,0,3,3,5,15,346,262,38,641,52,36,87,727,294,8,1026
POA6172,0,6,0,0,0,6,0,3,9,193,152,24,371,38,27,60,426,235,3,670
POA6173,0,3,0,0,0,3,0,0,3,129,112,12,258,22,19,36,291,99,0,397
POA6174,0,0,0,0,0,3,0,0,3,61,61,3,117,14,12,21,141,49,0,197
POA6175,0,0,0,0,0,0,0,0,4,47,31,5,83,3,12,9,95,48,0,145
POA6176,0,0,0,0,0,0,0,0,0,16,10,0,20,4,3,4,24,12,0,37
POA6180,0,0,0,0,0,0,0,0,0,63,55,4,126,7,13,18,143,72,0,210
POA6181,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,6,0,13
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,7,9,0,23
POA6208,0,3,0,0,0,3,6,3,13,104,126,15,239,27,16,45,286,232,3,525
POA6209,0,0,0,0,0,0,0,0,0,18,17,0,36,4,3,7,37,34,0,79
POA6210,3,16,4,0,4,19,31,11,64,704,703,93,1503,137,115,250,1751,1299,25,3079
POA6211,0,0,0,0,0,0,0,0,0,67,70,10,142,14,18,31,176,94,3,274
POA6213,0,0,0,0,0,0,0,0,0,6,3,0,6,3,0,3,10,17,0,32
POA6214,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,3,9,7,0,17
POA6215,0,0,0,0,0,0,4,3,9,40,36,12,85,10,6,15,105,58,3,167
POA6218,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,9,0,0,8
POA6220,0,0,0,0,0,0,0,0,3,33,32,6,76,7,3,11,84,62,0,149
POA6221,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,9
POA6223,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,9,0,0,8
POA6224,0,0,0,0,0,0,0,0,0,10,15,4,26,6,0,3,30,25,0,55
POA6225,0,0,0,0,0,0,4,3,6,60,81,6,154,28,14,40,196,180,5,374
POA6226,0,0,0,0,0,0,0,0,0,7,7,0,12,0,0,0,10,11,0,18
POA6227,0,0,0,0,0,0,0,0,0,3,8,0,12,0,0,0,17,6,0,18
POA6228,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
POA6229,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
POA6230,3,4,0,3,4,9,19,9,42,548,516,52,1120,81,84,161,1282,744,34,2055
POA6232,0,3,0,0,0,3,0,0,5,120,140,16,283,15,18,29,312,144,4,454
POA6233,0,3,0,0,0,5,8,0,9,181,207,19,410,34,25,50,459,188,0,649
POA6236,0,0,0,0,0,0,0,0,0,16,26,5,47,3,3,5,52,10,0,65
POA6237,0,0,0,0,0,0,0,0,0,28,20,0,51,0,3,3,53,27,0,78
POA6239,0,0,0,0,0,0,3,0,3,20,28,7,55,4,6,16,70,54,0,120
POA6240,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,3
POA6243,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,5
POA6244,0,0,0,0,0,0,0,0,0,3,9,4,22,0,3,3,18,15,0,38
POA6251,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,11,6,0,11
POA6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6253,0,0,0,0,0,0,0,0,0,4,8,0,9,0,0,4,18,3,0,21
POA6254,0,0,0,0,0,0,0,0,0,10,0,3,13,0,0,0,18,12,0,28
POA6255,0,0,0,0,0,0,0,0,0,31,31,3,64,0,4,5,72,44,0,114
POA6256,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,4
POA6258,0,0,0,0,0,0,0,5,8,60,70,8,145,11,10,22,165,98,4,267
POA6260,0,0,0,0,0,0,0,0,0,18,10,0,25,0,4,4,31,15,0,46
POA6262,0,0,0,0,0,0,0,0,0,5,3,0,8,0,0,0,13,11,0,24
POA6271,0,0,0,0,0,0,0,3,3,29,38,6,77,0,5,6,81,67,3,152
POA6275,0,0,0,0,0,0,0,0,3,7,14,3,22,0,3,3,22,19,0,41
POA6280,0,0,0,0,0,4,12,3,22,289,333,27,652,34,42,78,724,372,7,1103
POA6281,0,4,0,0,0,4,0,0,3,49,81,11,139,3,5,10,152,48,0,201
POA6282,0,0,0,0,0,0,0,0,0,7,5,0,15,0,0,0,15,8,0,25
POA6284,0,0,0,0,0,0,0,0,0,15,32,3,49,3,0,3,54,13,0,65
POA6285,0,0,0,0,0,0,3,0,4,123,139,15,275,6,3,10,286,96,0,383
POA6286,0,0,0,0,0,0,0,0,0,6,4,0,5,0,0,0,8,6,0,12
POA6288,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,3,7,10,0,15
POA6290,0,0,0,0,0,0,0,0,0,7,11,3,24,3,3,3,28,19,0,52
POA6302,0,0,0,0,0,0,0,0,0,33,30,3,64,3,6,9,75,55,0,136
POA6304,0,0,0,0,0,0,0,0,0,6,13,0,21,0,0,0,23,22,0,45
POA6306,0,0,0,0,0,0,0,0,3,9,3,0,10,3,4,3,10,12,3,30
